candidato,config,head,input_type,pooling,modelo_fusion,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,ece,delta_vs_base,p_delong_vs_base
M_A_gg__logreg_en,M_A_gg,logreg_en,A,gg,mlp,0.5273673080090755,0.4675607574439374,0.5840953935163588,0.05354076346083303,0.04201537407976492,0.06975028018967486,0.04749281704425812,0.012666496459394695,-0.1489434056504021,8.414494852893029e-05
M_AB_gg__lgbm,M_AB_gg,lgbm,AB,gg,NINGUNO_base,0.6758138991174236,0.6131917275518369,0.7325254167084115,0.27864951909254143,0.19026737200415977,0.36434693016749803,0.043961409479379654,0.026218500075861816,0.0,
M_AB_gg__lgbm,M_AB_gg,lgbm,AB,gg,logreg,0.6746236696262997,0.6142845063303594,0.7313795335162676,0.26271502783423395,0.17788254215653226,0.3470174078330922,0.22990392957665137,0.43036486898695336,-0.0011902294911239064,0.9397005506880267
M_AB_gg__lgbm,M_AB_gg,lgbm,AB,gg,histgb,0.5569105043066116,0.4944137558510153,0.6198733665714575,0.06361578080231287,0.04831801938097144,0.09008752944187787,0.16975435943905126,0.30480641604763953,-0.11890339481081214,0.005408442272595293
M_AB_gg__lgbm,M_AB_gg,lgbm,AB,gg,mlp,0.6215575003055277,0.5683460625125031,0.6707310890025127,0.06657588246851032,0.05256012221838605,0.08794492994712444,0.047018226236104965,0.014354081127792597,-0.054256398811896034,0.005483968429404129
M_A_gg__logreg_l1,M_A_gg,logreg_l1,A,gg,NINGUNO_base,0.672851609200899,0.6119889205352899,0.7345272739576382,0.20474540375598238,0.127634141736253,0.28954268503600894,0.14557494223117828,0.26448488351330157,0.0,
M_A_gg__logreg_l1,M_A_gg,logreg_l1,A,gg,logreg,0.6738718059075766,0.6177297518771016,0.730009901127757,0.17454240226543005,0.10859187856494366,0.26210611080387236,0.2351579349911294,0.43084394714010626,0.001020196706677412,0.953603350708166
M_A_gg__logreg_l1,M_A_gg,logreg_l1,A,gg,histgb,0.6383429242450811,0.5793609924036988,0.6949500563409855,0.1580745654846296,0.09882612865276255,0.2370984906051362,0.1918301188599038,0.35374421204893797,-0.03450868495581805,0.3016335093024036
M_A_gg__logreg_l1,M_A_gg,logreg_l1,A,gg,mlp,0.5394343221802453,0.4824604493148027,0.5955342111099838,0.05539329369493749,0.043247465026905234,0.07402288265543372,0.047408998012542725,0.012127108316868545,-0.1334172870206537,0.0003146917274534644
M_AB_gg__mlp,M_AB_gg,mlp,AB,gg,NINGUNO_base,0.6709281133268508,0.6103779993929888,0.7281396483140654,0.22740009131160577,0.15153521588714272,0.31696379087255416,0.1909918189048767,0.3733294080719352,0.0,
M_AB_gg__mlp,M_AB_gg,mlp,AB,gg,logreg,0.6785636480533903,0.6179557385223087,0.7324116302853378,0.229329346628631,0.15033625236798526,0.32142445713625983,0.21445944110950504,0.4063184928932979,0.007635534726539439,0.4969174891166608
M_AB_gg__mlp,M_AB_gg,mlp,AB,gg,histgb,0.6413184979728904,0.5821884014297949,0.6999604643749224,0.19077389024163594,0.11801523031203456,0.27127059422749805,0.18457723941809062,0.3336081588743512,-0.02960961535396045,0.18392063868387742
M_AB_gg__mlp,M_AB_gg,mlp,AB,gg,mlp,0.671592303891094,0.608856926110069,0.7272973340035027,0.20917374944438194,0.13394775492336894,0.30328041850779575,0.04395446181297302,0.00614002066478133,0.0006641905642431611,0.9542240665117194
M_A_gg__histgb,M_A_gg,histgb,A,gg,NINGUNO_base,0.6691666799504778,0.6095423704489044,0.7313064800041644,0.28462772918818985,0.1966630573857513,0.3702454101059227,0.07129871100187302,0.1643649132326245,0.0,
M_A_gg__histgb,M_A_gg,histgb,A,gg,logreg,0.6740816901258774,0.6143997856392694,0.7336864226092276,0.2831483321233475,0.19639481097241063,0.3675400822942287,0.2159409379139749,0.41211553812296076,0.004915010175399304,0.7249543445982363
M_A_gg__histgb,M_A_gg,histgb,A,gg,histgb,0.6481118390639695,0.5928806930200302,0.7082236971892194,0.26197948073559063,0.1786395303612916,0.3518173818727472,0.18681841529913118,0.3506274404553187,-0.021054840886508663,0.45532002336075195
M_A_gg__histgb,M_A_gg,histgb,A,gg,mlp,0.6735397106254549,0.6157680784692521,0.7323797895018367,0.2726626122915387,0.18714968759736347,0.3600208604576021,0.04141148552298546,0.015080583654344082,0.004373030674976852,0.7694308385690467
M_A_gg__rf,M_A_gg,rf,A,gg,NINGUNO_base,0.6660609248720769,0.6091983508837154,0.7244722799463502,0.2901660394713571,0.20554846234013618,0.3763871235404368,0.04061979800462723,0.015469603545963764,0.0,
M_A_gg__rf,M_A_gg,rf,A,gg,logreg,0.6697803920318386,0.6124210672180446,0.7305553988325127,0.29003260274885834,0.20206166252441388,0.3765537047877566,0.21140538850974747,0.40873924408712736,0.003719467159761791,0.7919477774057255
M_A_gg__rf,M_A_gg,rf,A,gg,histgb,0.6138103815641954,0.5502347118881008,0.6782981279135589,0.27105804488372154,0.1832645688152382,0.35389768887212614,0.19367808623107893,0.34975407408590475,-0.05225054330788148,0.09481328369391195
M_A_gg__rf,M_A_gg,rf,A,gg,mlp,0.6727240846125644,0.6158069105294669,0.7306001714628327,0.2919324634458026,0.20712098668871654,0.37843354256507533,0.04084058478474617,0.008730457343161108,0.006663159740487479,0.6363526655289995
M_A_22__histgb,M_A_22,histgb,A,22,NINGUNO_base,0.6653462558249512,0.6024721103830284,0.7325476067014061,0.29974673316213185,0.21133789478088053,0.386144339296348,0.04696125164628029,0.07276067572832107,0.0,
M_A_22__histgb,M_A_22,histgb,A,22,logreg,0.6716109012268928,0.6096873055957718,0.7344885807357916,0.29949723198255235,0.20917415209276122,0.3859450646111316,0.21107381906565587,0.4076909403764013,0.006264645401941604,0.5765026324914093
M_A_22__histgb,M_A_22,histgb,A,22,histgb,0.6837337074054591,0.6212305845518277,0.7424165200889573,0.2963268251600695,0.20794752941125744,0.3797860216730727,0.1917300465691568,0.36093975704616094,0.01838745158050792,0.6114152677044828
M_A_22__histgb,M_A_22,histgb,A,22,mlp,0.6633961923283334,0.6023004156161247,0.7249474157749652,0.2836837844442212,0.1965358264766147,0.3709458063023717,0.04106763377785683,0.009538071088492871,-0.0019500634966179708,0.8716476181683563
M_A_gg__logreg_l2,M_A_gg,logreg_l2,A,gg,NINGUNO_base,0.6643234023560168,0.6053802075390797,0.7245715782827741,0.17673830744987543,0.11007397036428818,0.25122439342602865,0.12444217503070831,0.19958979115635156,0.0,
M_A_gg__logreg_l2,M_A_gg,logreg_l2,A,gg,logreg,0.6638106472404209,0.6071396413363523,0.7217716838257281,0.15411151490911373,0.09929078594858116,0.24302802606644258,0.23762876164054278,0.4334975182379198,-0.0005127551155956755,0.9769630093296935
M_A_gg__logreg_l2,M_A_gg,logreg_l2,A,gg,histgb,0.6270915360868017,0.5702792598603421,0.6855776779830544,0.1353077275254681,0.08543139292399533,0.20518161877117108,0.20013185378871093,0.3607421174758056,-0.03723186626921493,0.2806959552831516
M_A_gg__logreg_l2,M_A_gg,logreg_l2,A,gg,mlp,0.5576065760179385,0.504693733135927,0.6081552161814533,0.05614915028139816,0.04482285972989631,0.0747717037436372,0.047275494784116745,0.012072565760463476,-0.10671682633807833,0.0010927967926928073
M_AB_gg__logreg_en,M_AB_gg,logreg_en,AB,gg,NINGUNO_base,0.6620439003395342,0.5972647890452343,0.7199784110561529,0.23200497281196025,0.15241584105578468,0.31747103527807463,0.15611249208450317,0.28778925468772654,0.0,
M_AB_gg__logreg_en,M_AB_gg,logreg_en,AB,gg,logreg,0.6661778224113838,0.607024939186177,0.719810180024851,0.1837125533699955,0.11334864324797983,0.2739949336990615,0.23359652231419567,0.42704918452537405,0.004133922071849483,0.7828848752332653
M_AB_gg__logreg_en,M_AB_gg,logreg_en,AB,gg,histgb,0.622394380416474,0.5631317652685214,0.6781346486465708,0.16908872603152977,0.10288452461566158,0.25279540281961277,0.19794646497385998,0.3601096799235593,-0.039649519923060206,0.19953684715606945
M_AB_gg__logreg_en,M_AB_gg,logreg_en,AB,gg,mlp,0.5236584678983416,0.46416083977770556,0.5789550959461944,0.052010804222748744,0.04131586589731595,0.06748820940408173,0.047509826719760895,0.012128050819039345,-0.1383854324411926,0.00016132286669923168
M_AB_22__histgb,M_AB_22,histgb,AB,22,NINGUNO_base,0.6579923378976509,0.5956592778405488,0.7180740228924124,0.28044440820805644,0.189619570384029,0.36458939111977345,0.05350992828607559,0.10288661094382406,0.0,
M_AB_22__histgb,M_AB_22,histgb,AB,22,logreg,0.659543887055723,0.5976982167515624,0.7184680481689419,0.27673429638145153,0.18918053540111843,0.3610580668329996,0.21932161743037806,0.4175540967078197,0.0015515491580718743,0.8913516572122426
M_AB_22__histgb,M_AB_22,histgb,AB,22,histgb,0.5954176164591736,0.5244820887193131,0.6577191493961385,0.25195111149256394,0.16535055396837073,0.3377026581669487,0.20428209949124385,0.37804672757033164,-0.06257472143847742,0.09215895056761503
M_AB_22__histgb,M_AB_22,histgb,AB,22,mlp,0.6712442680354307,0.6119228895534112,0.7299549109110864,0.27348584756968025,0.1862450851997626,0.35773169670425153,0.04174359142780304,0.012004282519221303,0.013251930137779588,0.24234141468630144
M_A_gg__extratrees,M_A_gg,extratrees,A,gg,NINGUNO_base,0.6567410028746168,0.5969472365405576,0.7149193857230391,0.2732089624256055,0.19175322107596507,0.3619681859062886,0.04135897010564804,0.029516514204442502,0.0,
M_A_gg__extratrees,M_A_gg,extratrees,A,gg,logreg,0.6629259454088492,0.6052331224692421,0.7184978531490012,0.26799261633635085,0.18657495191886997,0.3569658332534696,0.22195879206403218,0.42238121777175414,0.006184942534232296,0.7564139666708469
M_A_gg__extratrees,M_A_gg,extratrees,A,gg,histgb,0.6228672840982152,0.5587716220130655,0.6865216505702066,0.23384022012330052,0.15734626616078243,0.317842582340106,0.22077681987078568,0.38328481224242744,-0.03387371877640155,0.34290663881671923
M_A_gg__extratrees,M_A_gg,extratrees,A,gg,mlp,0.6676390416527188,0.6086565669865146,0.7264287587518126,0.27505049712422824,0.19462990487325094,0.3624976224555991,0.04083280265331268,0.011339339233934877,0.010898038778101915,0.5366193365184284
M_A_gg__lgbm,M_A_gg,lgbm,A,gg,NINGUNO_base,0.64768144357834,0.5764271122217527,0.7060505984069303,0.20173042040520975,0.1260515874948172,0.286143947456955,0.04616813734173775,0.02648537799715996,0.0,
M_A_gg__lgbm,M_A_gg,lgbm,A,gg,logreg,0.6437706895360761,0.5813753317559617,0.6993982272442784,0.1471306776183247,0.0945962300163095,0.22208712200087152,0.24046462892098805,0.4380943008953637,-0.00391075404226382,0.8306198324458072
M_A_gg__lgbm,M_A_gg,lgbm,A,gg,histgb,0.46221552718133463,0.39232181547059536,0.5274916131014853,0.06152650601666483,0.04154583291708737,0.08938659367533049,0.18323973204247945,0.32917854582799966,-0.18546591639700527,0.00034182121715931046
M_A_gg__lgbm,M_A_gg,lgbm,A,gg,mlp,0.6106993129612803,0.546903456429968,0.6653086027569783,0.08195140046896394,0.05852127949413945,0.12556780545590734,0.046753060072660446,0.007398635417222979,-0.03698213061705957,0.07318004154394853
M_AB_gg__rf,M_AB_gg,rf,AB,gg,NINGUNO_base,0.6471899425608,0.5838560918261878,0.7086541997367647,0.28370876991555516,0.20077518892389362,0.36567187670703083,0.04113810509443283,0.019775588519871233,0.0,
M_AB_gg__rf,M_AB_gg,rf,AB,gg,logreg,0.6573387743824356,0.59422779664914,0.7175464368122813,0.2847218024396421,0.20128766860149735,0.3677784478658005,0.21139708810273736,0.4074817441536246,0.010148831821635396,0.3620396018186436
M_AB_gg__rf,M_AB_gg,rf,AB,gg,histgb,0.6026440097981391,0.5356279428004199,0.6664645892041761,0.27652498317791546,0.19027040164868642,0.3627529772299252,0.18994610615986302,0.3449679291035167,-0.044545932762660945,0.09441374803492253
M_AB_gg__rf,M_AB_gg,rf,AB,gg,mlp,0.6538796699238572,0.5904161912431845,0.7134833085163056,0.2846750665192662,0.20087379339683603,0.3667504399557491,0.0410890057682991,0.008661599457263946,0.006689727363057063,0.5562626264346497
M_AB_22__rf,M_AB_22,rf,AB,22,NINGUNO_base,0.6458190532362021,0.5806047245318987,0.7076834712157791,0.27415309492174705,0.1831115235741937,0.3594023170491636,0.0417671874165535,0.02531025289744139,0.0,
M_AB_22__rf,M_AB_22,rf,AB,22,logreg,0.6526309916630801,0.5910147320921645,0.71572464752378,0.2744964234870504,0.18599538153471237,0.358106183400814,0.20909557101176726,0.4035470786438852,0.006811938426877884,0.5376739172749192
M_AB_22__rf,M_AB_22,rf,AB,22,histgb,0.6299050473169359,0.5673138092876879,0.6954380281481881,0.24054749797167485,0.1524727739656543,0.32527298712817715,0.18771954623482281,0.33869630559836333,-0.015914005919266394,0.49774151473174877
M_AB_22__rf,M_AB_22,rf,AB,22,mlp,0.6503089814504859,0.5876454258182553,0.7141278815145085,0.2742695611685898,0.18738960853221473,0.35720132968014756,0.04074598848819733,0.007642986051738263,0.004489928214283845,0.7044613929921406
M_AB_gg__logreg_l1,M_AB_gg,logreg_l1,AB,gg,NINGUNO_base,0.645811082949431,0.5807084597204532,0.7052881031866463,0.17878180351231882,0.1083932337913646,0.26515832933466416,0.13389752805233002,0.2350430892128497,0.0,
