config,head,level,oof_auc,mean_fold_auc,std_fold_auc,test_auc,elapsed_sec
M_A_22,logreg_en,mama,0.6018500358785757,0.602242508158805,0.022596687444750654,0.6348120872055645,4846.103636264801
M_A_22,extratrees,mama,0.619011982278814,0.6262617294318954,0.05016695703658157,0.6346898761417437,105.1099066734314
E_A_22,histgb,estudio,0.604044875987322,0.61084332961093,0.009886212610750589,0.634667680678466,608.0337474346161
M_A_22,logreg_l1,mama,0.5618208668463648,0.5677250092606887,0.025234229943370497,0.6340469396755563,240.17546796798706
M_AB_22,xgb,mama,0.6292659293383525,0.6587271251152899,0.030591754591181658,0.6329550103879404,1436.6251883506775
E_B_gg,mlp,estudio,0.6477766837479066,0.6607648486500454,0.02623498157372878,0.6323631084070797,21.200002193450928
E_A_gg,extratrees,estudio,0.6096324538770581,0.6226101446512705,0.013461691096428028,0.6317754424778761,23.330564498901367
E_A_22,xgb,estudio,0.6302237331014309,0.6502693430751728,0.019277908460115338,0.6314643252212389,844.8778166770935
E_AB_gg,lgbm,estudio,0.5963967686989269,0.6009349720864531,0.03194423133301883,0.6282897769174042,128.9930236339569
E_AB_22,rf,estudio,0.661636564873975,0.6613392312602666,0.02252399920747724,0.6278115781710913,84.68581867218018
E_AB_gg,mlp,estudio,0.6485988831312571,0.649858356108859,0.032291910616052064,0.6270165007374631,19.73144841194153
E_AB_gg,extratrees,estudio,0.6330967593557522,0.6430387051828184,0.020039825617240756,0.6270049778761062,25.835906505584717
E_AB_22,extratrees,estudio,0.6695983872242864,0.6699237621341965,0.020158283532808133,0.626607439159292,87.30969190597534
E_B_gg,extratrees,estudio,0.616055167853729,0.6251083644309009,0.02135309002813353,0.6260082503687314,14.482197284698486
E_AB_gg,xgb,estudio,0.6330029682547668,0.6562992707801387,0.0280869525633645,0.6257605088495576,181.99194073677063
E_AB_gg,rf,estudio,0.6407060565333946,0.6429538651369434,0.016344938349603537,0.6251094671828908,40.31096529960632
E_AB_22,histgb,estudio,0.6332882944393736,0.6334906634650316,0.02712303200010957,0.6246773598820059,909.6455090045929
E_A_gg,mlp,estudio,0.6346380238466569,0.6423576014028998,0.038504069845179116,0.6237440081120944,14.847686529159546
E_A_gg,xgb,estudio,0.6326173826173827,0.6350862688496738,0.015750993200468143,0.6231217735988202,121.09018301963806
M_AB_22,logreg_l1,mama,0.6112818557631314,0.6109912956511029,0.02108810314199459,0.6216611140335497,183.28478336334229
M_AB_22,logreg_l2,mama,0.5758076841753006,0.5859068049295952,0.015501241002605958,0.6184570587516406,244.97837042808533
E_B_gg,histgb,estudio,0.629163282760405,0.6463829743510437,0.035755703558782374,0.6176714601769911,76.57861590385437
M_AB_22,logreg_en,mama,0.631048703293337,0.6313155334707078,0.030295721667121713,0.6174315485204491,10128.993410348892
M_AB_22,extratrees,mama,0.6441266522042431,0.6451802502785411,0.0366979604421243,0.617250888686975,138.7060980796814
E_AB_22,lgbm,estudio,0.6150252625072768,0.6245246671046375,0.03385668104300208,0.6168302912979351,695.9316880702972
M_A_22,logreg_l2,mama,0.5569282278647503,0.5598769900673795,0.03266000738460649,0.6158215505927236,142.63924288749695
E_B_gg,xgb,estudio,0.6345082974579377,0.6644274178865734,0.029344891267100756,0.6138689159292036,64.51229286193848
E_A_22,lgbm,estudio,0.6170261393282976,0.6197703877713303,0.024043461637655958,0.612601401179941,428.71976470947266
E_A_22,logreg_l1,estudio,0.6399514154909838,0.6396824567523755,0.04059916098417067,0.6121635324483775,1071.4279873371124
E_B_22,xgb,estudio,0.636615902083528,0.6468861033641897,0.015152706580780603,0.6119906895280236,371.1202299594879
E_B_gg,logreg_l1,estudio,0.6418638915041792,0.6427872128254883,0.02728472544299683,0.6117371865781711,78.79140901565552
E_B_gg,lgbm,estudio,0.6411042195214857,0.6420488474257972,0.028431806003356888,0.6095132743362832,34.90072154998779
M_AB_22,lgbm,mama,0.6253424281221436,0.6266945551039979,0.02959279478904811,0.6088316090946286,519.6561603546143
E_A_gg,logreg_l2,estudio,0.5804673743522665,0.5800209143239683,0.03219327074097344,0.6075428650442478,22.701017141342163
E_B_gg,rf,estudio,0.6490983836307577,0.6494901461798394,0.023673028382603878,0.60734697640118,25.355865716934204
E_A_gg,histgb,estudio,0.6197313477889017,0.6234588834650903,0.020898694509460695,0.6061370759587021,161.49942278862
E_B_22,extratrees,estudio,0.6402744737277112,0.6436655726353545,0.020912540069074354,0.6058317201327432,34.955026149749756
E_AB_gg,logreg_l2,estudio,0.578628206326048,0.5782917557150038,0.03269893304268217,0.6004563053097345,33.649237632751465
E_AB_22,logreg_l1,estudio,0.6444620128073365,0.6449010015359827,0.03765032530045525,0.5977369100294986,1727.4549851417542
E_B_22,mlp,estudio,0.6588824844220528,0.6669601051010459,0.01952979396620218,0.5964117809734513,26.96545171737671
E_A_22,mlp,estudio,0.6514859241477946,0.6513212889875228,0.04618881337967371,0.5947985803834808,28.346503734588623
E_AB_22,mlp,estudio,0.6421118449895429,0.6524609534517467,0.03559727076521895,0.592044616519174,34.53630304336548
E_B_gg,logreg_l2,estudio,0.6131965157145013,0.6147618146997464,0.02877327186979012,0.5917334992625368,19.507444620132446
E_B_22,logreg_l1,estudio,0.6561187014424423,0.6566358022157381,0.019379893329261027,0.5890601954277286,505.25821185112
E_B_22,logreg_l2,estudio,0.6126319723442024,0.6179065713082563,0.041470947714216805,0.588495575221239,76.7339870929718
E_AB_22,logreg_l2,estudio,0.5926541084814467,0.5980043071605238,0.02644302982594921,0.5862543786873157,170.660551071167
E_A_22,logreg_l2,estudio,0.5856808658966932,0.592060553018473,0.018852615350030005,0.5828032817109146,104.18775582313538
E_B_22,rf,estudio,0.6466623304752801,0.6499601711300429,0.017978900380440786,0.5813283554572272,49.036510944366455
E_B_22,lgbm,estudio,0.6096992935122432,0.6154391741827518,0.020433626218450355,0.5798246220501475,170.57811498641968
E_A_gg,lgbm,estudio,0.615220750472549,0.6206437891866795,0.02484439144198931,0.5778830199115045,84.33603739738464
E_B_22,histgb,estudio,0.6300843041850237,0.635178080005151,0.016118445250338384,0.5772377396755162,309.2125735282898
